obs,spp_names,record_num,data_source,source_page,phylum,class,order,family,genus,species,habitat,source,life hist,geo_location,lat,long,acclim_type,acclim_period,trait_category,trait,details,temp_1,temp_2,r1.1,r1.1_se,r1.1_N,r1.1_CV,r1.1_logCV,r1.2,r1.2_se,r1.2_N,r1.2_CV,r1.2_logCV,r2.1,r2.1_se,r2.1_N,r2.1_CV,r2.1_logCV,r2.2,r2.2_se,r2.2_N,r2.2_CV,r2.2_logCV,Type,treat,ES,V_ES,units,notes
223,Cyprinus_carpio,p073_o,NA,NA,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,carpio,f,c,a,"Newhay, Yorkshire UK",NA,NA,1,21,ATPase,ATPase,muscle,8,28,0.52,0.05,6,0.24,-1.45,1.55,0.2,6,0.32,-1.15,0.37,0.03,5,0.18,-1.71,1.35,0.2,5,0.33,-1.1,Q10RR,aw,0.647178433,0.007130504,umol Pi/mg/min,NA
231,Rana_vergatipes,p077_o,NA,NA,Chordata,Amphibia,Anura,Ranidae,Rana,vergatipes,f,w,a,"Burlington, New Jersey",40.078366,-74.85251,1,6,rest_MR,MR,rest,5,15,0.02,0,24,0.86,-0.15,0.04,0.01,24,0.7,-0.36,0.02,0,24,0.41,-0.9,0.05,0,24,0.39,-0.94,Q10RR,aw,0.916290732,0,cm3/g/h,NA
232,Rana_vergatipes,p077_o,NA,NA,Chordata,Amphibia,Anura,Ranidae,Rana,vergatipes,f,w,a,"Burlington, New Jersey",40.078366,-74.85251,1,6,rest_MR,MR,rest,5,25,0.02,0,24,0.86,-0.15,0.07,0.01,24,0.41,-0.9,0.02,0,24,0.49,-0.71,0.15,0.01,24,0.34,-1.09,Q10RR,aw,1.00745151,0.001111111,cm3/g/h,NA
233,Rana_vergatipes,p077_o,NA,NA,Chordata,Amphibia,Anura,Ranidae,Rana,vergatipes,f,w,a,"Burlington, New Jersey",40.078366,-74.85251,1,6,rest_MR,MR,rest,15,25,0.05,0,24,0.39,-0.94,0.08,0.01,24,0.5,-0.69,0.04,0,24,0.49,-0.71,0.15,0.01,24,0.34,-1.09,Q10RR,aw,1.32175584,0.004444444,cm3/g/h,NA
236,Mytilus_edulis,p080_o,NA,NA,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,edulis,m,w,a,Asko,58.2,16,2,NA,rest_MR,MR,rest,3,17,7.82,0.78,4,0.2,-1.61,40.64,4.06,4,0.2,-1.61,3.13,0.31,4,0.2,-1.61,23.45,2.34,4,0.2,-1.61,Q10RR,aw,1.43845535,0.010085014,it was Mytilus spp and changed,NA
237,Mytilus_edulis,p080_o,NA,NA,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,edulis,m,w,a,"Gulf of Gdansk, Poland",55.2,18.95,2,NA,rest_MR,MR,rest,3,17,4.69,0.47,4,0.2,-1.61,328.26,32.83,4,0.2,-1.61,1.56,0.16,4,0.2,-1.61,15.63,1.56,4,0.2,-1.61,Q10RR,aw,1.646075945,0.010449512,it was Mytilus spp and changed,NA
238,Mytilus_edulis,p080_o,NA,NA,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,edulis,m,w,a,"Mecklenburg Bight, Germany",55.5,11.65,2,NA,rest_MR,MR,rest,3,17,7.82,0.78,4,0.2,-1.61,26.57,2.66,4,0.2,-1.61,12.51,1.25,4,0.2,-1.61,40.64,4.06,4,0.2,-1.61,Q10RR,aw,0.841588913,0.01018589,it was Mytilus spp and changed,NA
239,Mytilus_edulis,p080_o,NA,NA,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,edulis,m,w,a,Grevelingenmeer,51.2,4.15,2,NA,rest_MR,MR,rest,10,17,18.76,1.88,4,0.2,-1.61,20.32,2.03,4,0.2,-1.61,3.13,0.31,4,0.2,-1.61,17.19,1.72,4,0.2,-1.61,Q10RR,aw,2.433278307,0.040450742,it was Mytilus spp and changed,NA
240,Mytilus_edulis,p080_o,NA,NA,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,edulis,m,w,a,Westerschelde estuary,51.2,3.7,2,NA,rest_MR,MR,rest,10,17,9.38,0.94,4,0.2,-1.61,21.88,2.19,4,0.2,-1.61,2.5,0.25,4,0.2,-1.61,17.19,1.72,4,0.2,-1.61,Q10RR,aw,2.754338696,0.040840078,it was Mytilus spp and changed,NA
241,Mytilus_edulis,p080_o,NA,NA,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,edulis,m,w,a,Pointe d'Aiguillon,46.3,18.15,2,NA,rest_MR,MR,rest,10,17,25.64,2.56,4,0.2,-1.61,37.52,3.75,4,0.2,-1.61,10.94,1.09,4,0.2,-1.61,39.08,3.91,4,0.2,-1.61,Q10RR,aw,1.818835757,0.040688256,it was Mytilus spp and changed,NA
242,Mytilus_edulis,p080_o,NA,NA,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,edulis,m,w,a,Bidasoa estuary,43.6,1.8,2,NA,rest_MR,MR,rest,10,17,7.82,0.78,4,0.2,-1.61,6.88,0.69,4,0.2,-1.61,7.82,0.78,4,0.2,-1.61,20.32,2.03,4,0.2,-1.61,Q10RR,aw,1.364172955,0.040671917,it was Mytilus spp and changed,NA
243,Mytilus_edulis,p080_o,NA,NA,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,edulis,m,w,a,Marseille,43.1,5.35,2,NA,rest_MR,MR,rest,14,24,26.57,2.66,4,0.2,-1.61,64.09,6.41,4,0.2,-1.61,23.45,2.34,4,0.2,-1.61,40.64,4.06,4,0.2,-1.61,Q10RR,aw,0.549882308,0.019937726,it was Mytilus spp and changed,NA
244,Mytilus_edulis,p080_o,NA,NA,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,edulis,m,w,a,Golfo di Oristano,39.2,8.5,2,NA,rest_MR,MR,rest,14,24,25.01,2.5,4,0.2,-1.61,31.89,3.19,4,0.2,-1.61,42.2,4.22,4,0.2,-1.61,37.52,3.75,4,0.2,-1.61,Q10RR,aw,-0.117546097,0.019989342,it was Mytilus spp and changed,NA
245,Mytilus_edulis,p080_o,NA,NA,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,edulis,m,w,a,Santa Giusta lagoon,39.1,8.6,2,NA,rest_MR,MR,rest,14,24,26.57,2.66,4,0.2,-1.61,31.26,3.13,4,0.2,-1.61,20.32,2.03,4,0.2,-1.61,17.19,1.72,4,0.2,-1.61,Q10RR,aw,-0.167277803,0.019991963,it was Mytilus spp and changed,NA
246,Limecola_balthica,p080_o,NA,NA,Mollusca,Bivalvia,Veneroida,Tellinidae,Limecola,balthica,m,w,a,Umea,63.2,20.25,2,NA,rest_MR,MR,rest,3,17,9.38,0.94,4,0.2,-1.61,23.45,2.34,4,0.2,-1.61,10.94,1.09,4,0.2,-1.61,26.57,2.66,4,0.2,-1.61,Q10RR,aw,0.633826402,0.010178368,"it was Macoma	balthica",NA
247,Limecola_balthica,p080_o,NA,NA,Mollusca,Bivalvia,Veneroida,Tellinidae,Limecola,balthica,m,w,a,Asko,58.2,16,2,NA,rest_MR,MR,rest,3,17,6.25,0.63,4,0.2,-1.61,24.38,2.44,4,0.2,-1.61,7.19,0.72,4,0.2,-1.61,15.63,1.56,4,0.2,-1.61,Q10RR,aw,0.554643552,0.010198717,"it was Macoma	balthica",NA
248,Limecola_balthica,p080_o,NA,NA,Mollusca,Bivalvia,Veneroida,Tellinidae,Limecola,balthica,m,w,a,"Gulf of Gdansk, Poland",55.2,18.95,2,NA,rest_MR,MR,rest,3,17,6.25,0.63,4,0.2,-1.61,31.26,3.13,4,0.2,-1.61,6.25,0.63,4,0.2,-1.61,25.01,2.5,4,0.2,-1.61,Q10RR,aw,0.990495915,0.010281962,"it was Macoma	balthica",NA
249,Limecola_balthica,p080_o,NA,NA,Mollusca,Bivalvia,Veneroida,Tellinidae,Limecola,balthica,m,w,a,"Mecklenburg Bight, Germany",55.5,11.65,2,NA,rest_MR,MR,rest,3,17,7.82,0.78,4,0.2,-1.61,21.88,2.19,4,0.2,-1.61,3.75,0.38,4,0.2,-1.61,29.7,2.97,4,0.2,-1.61,Q10RR,aw,1.478136576,0.010341043,"it was Macoma	balthica",NA
250,Limecola_balthica,p080_o,NA,NA,Mollusca,Bivalvia,Veneroida,Tellinidae,Limecola,balthica,m,w,a,Westerschelde estuary,51.2,3.7,2,NA,rest_MR,MR,rest,10,17,25.01,2.5,4,0.2,-1.61,28.14,2.81,4,0.2,-1.61,10.94,1.09,4,0.2,-1.61,26.57,2.66,4,0.2,-1.61,Q10RR,aw,1.267652804,0.040713474,"it was Macoma	balthica",NA
251,Limecola_balthica,p080_o,NA,NA,Mollusca,Bivalvia,Veneroida,Tellinidae,Limecola,balthica,m,w,a,Pointe d'Aiguillon,46.3,18.15,2,NA,rest_MR,MR,rest,10,17,4.69,0.47,4,0.2,-1.61,25.01,2.5,4,0.2,-1.61,4.69,0.47,4,0.2,-1.61,31.26,3.13,4,0.2,-1.61,Q10RR,aw,2.709866775,0.040955709,"it was Macoma	balthica",NA
282,Vipera_berus,p082_o,NA,NA,Chordata,Reptilia,Squamata,Viperidae,Vipera,berus,t,w,a,"Jutland, Denmark",57.05,9.916667,1,90,rest_MR,MR,rest,5,25,10,0.4,30,0.22,-1.52,95,1.2,30,0.07,-2.67,22,1.2,30,0.3,-1.21,92,0.08,30,0,-5.35,Q10RR,aw,0.715373062,0.000743991,ul/g/h,NA
283,Carassius_auratus,p083_o,NA,NA,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,auratus,f,c,a,"Ontario,CA, USA",NA,NA,1,30,ATPase,Myofib ATPase,NA,10,35,0.3,0.04,8,0.38,-0.98,0.68,0.1,8,0.42,-0.88,0.06,0.01,8,0.47,-0.75,0.57,0.06,8,0.3,-1.21,Q10RR,aw,0.900516719,0.006217298,umolP/mg/min,NA
284,Fundulus_heteroclitus,p083_o,NA,NA,Chordata,Actinopterygii,Cypriniformes,Cyprinodontidae,Fundulus,heteroclitus,m,c,a,"Woods Hole, MA USA",NA,NA,1,30,ATPase,Myofib ATPase,NA,10,35,0.31,0.02,8,0.18,-1.7,0.7,0.05,8,0.2,-1.6,0.23,0.03,8,0.37,-1,0.56,0.04,8,0.2,-1.6,Q10RR,aw,0.35594299,0.003538444,umolP/mg/min,NA
285,Carassius_auratus,p083_o,NA,NA,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,auratus,f,c,a,"Ontario,CA, USA",NA,NA,1,30,sprint,swim,sprint,10,35,0.9,0.07,10,0.25,-1.4,NA,NA,NA,NA,NA,0.2,0.08,10,1.26,0.24,1,0.02,10,0.06,-2.76,Q10RR,aw,0.643775165,0.025664,m/s,NA
286,Fundulus_heteroclitus,p083_o,NA,NA,Chordata,Actinopterygii,Cypriniformes,Cyprinodontidae,Fundulus,heteroclitus,m,c,a,"Woods Hole, MA USA",NA,NA,1,30,sprint,Swim,sprint,10,35,0.95,0.1,10,0.33,-1.1,NA,NA,NA,NA,NA,0.67,0.02,10,0.09,-2.36,0.98,0.1,10,0.32,-1.13,Q10RR,aw,0.152109944,0.001808543,m/s,NA
324,Xantusia_vigilis,p088_o,NA,NA,Chordata,Reptilia,Squamata,Lacertidae,Xantusia,vigilis,t,w,a,"Victorville, California",34.536111,-117.28833,1,50,sprint,Sprint speed,NA,20,30,70,1,26,0.07,-2.62,67,1,26,0.08,-2.58,102,1,26,0.05,-3,110,1,26,0.05,-3.07,Q10RR,aw,0.075507553,0.000178762,cm/s,NA
332,Zoarces_americanus,p091_o,NA,NA,Chordata,Actinopterygii,Perciformes,Zoarcidae,Zoarces,americanus,m,w,j,"Logy Bay, Newfoundland, Canada",47.65,52.7,1,28,metabolic_enzyme,CS,whole body,3,11,0.49,0.08,7,0.43,-0.84,0.76,0.2,7,0.7,-0.36,0.57,0.05,7,0.23,-1.46,0.9,0.17,7,0.5,-0.69,Q10RR,aw,0.570948003,0.067771387,NA,NA
333,Zoarces_americanus,p091_o,NA,NA,Chordata,Actinopterygii,Perciformes,Zoarcidae,Zoarces,americanus,m,w,j,"Logy Bay, Newfoundland, Canada",47.65,52.7,1,28,rest_MR,MR,rest,3,11,2.38,0.39,9,0.49,-0.71,7.5,0.63,9,0.25,-1.39,4.38,0.63,9,0.43,-0.85,9.42,1.2,9,0.38,-0.96,Q10RR,aw,0.957232955,0.057682068,NA,NA
335,Oncorhynchus_mykiss,p093_o,NA,NA,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,f,c,j,"Ile d'Orleans, Quebec, Canada",46.56,70.58,1,56,metabolic_enzyme,COX,mitochondrial solution,5,15,1.9,0.2,8,0.3,-1.21,3.15,0.3,8,0.27,-1.31,1.2,0.2,7,0.44,-0.82,1.95,0.5,7,0.68,-0.39,Q10RR,aw,0.485507816,0.093523997,NA,NA
336,Acheta_domesticus,p094_o,NA,NA,Arthropoda,Insecta,Orthoptera,Gryllidae,Acheta,domesticus,t,c,a,"Durban , South Africa",29.9,31.05,1,8,sprint,jump,max,25,33,138,15.38,12,0.39,-0.95,115,15.38,12,0.46,-0.77,100,13.64,12,0.47,-0.75,106,13.64,12,0.45,-0.81,Q10RR,aw,0.072836135,0.054942669,mm,NA
338,Acheta_domesticus,p094_o,NA,NA,Arthropoda,Insecta,Orthoptera,Gryllidae,Acheta,domesticus,t,c,a,"Durban , South Africa",29.9,31.05,1,8,sprint,run,sprint,25,33,21,2.67,12,0.44,-0.82,27,2.67,12,0.34,-1.07,20,2.99,12,0.52,-0.66,29,2.99,12,0.36,-1.03,Q10RR,aw,0.464454446,0.051532142,mm/s,NA
339,Zoarces_viviparous,p095_o,NA,NA,Chordata,Actinopterygii,Perciformes,Zoarcidae,Zoarces,viviparous,m,w,a,"Helgoland, Germany",54.15,7.9,1,300,metabolic_enzyme,CS,liver,5,10,0.7,0.2,5,0.64,-0.45,0.9,0.2,5,0.5,-0.7,0.75,0.2,5,0.6,-0.52,0.8,0.2,5,0.56,-0.58,Q10RR,aw,0.129077042,0.534444444,NA,NA
340,Zoarces_viviparous,p095_o,NA,NA,Chordata,Actinopterygii,Perciformes,Zoarcidae,Zoarces,viviparous,m,w,a,"Helgoland, Germany",54.15,7.9,1,300,metabolic_enzyme,IDH,liver,5,10,0.05,0.01,4,0.44,-0.81,0.09,0.03,4,0.67,-0.41,0.04,0.01,5,0.56,-0.58,0.06,0.01,5,0.37,-0.99,Q10RR,aw,0.810930216,0.361111111,IDH = isocitrate dehydrogenase,NA
341,Modiolus_modiolus,p096_o,NA,NA,Mollusca,Bivalvia,Mytiloida,Mytilidae,Modiolus,modiolus,m,w,a,"Star Is, Isles of Shoal, NH, USA",42.95,70.6,2,NA,metabolic_enzyme,COX,"muscle, adductor",5,15,18,1.58,10,0.28,-1.28,25,0.95,10,0.12,-2.12,7,0.95,10,0.43,-0.85,11,0.9,10,0.26,-1.35,Q10RR,aw,0.451985124,0.025112582,/mg protein,NA
342,Modiolus_modiolus,p096_o,NA,NA,Mollusca,Bivalvia,Mytiloida,Mytilidae,Modiolus,modiolus,m,w,a,"Star Is, Isles of Shoal, NH, USA",42.95,70.6,2,NA,metabolic_enzyme,CPT,"muscle, adductor",5,15,17,1.9,10,0.35,-1.04,25,1.58,10,0.2,-1.61,4,0.63,10,0.5,-0.69,11,0.95,10,0.27,-1.3,Q10RR,aw,1.011600912,0.032264928,/mg protein,NA
343,Modiolus_modiolus,p096_o,NA,NA,Mollusca,Bivalvia,Mytiloida,Mytilidae,Modiolus,modiolus,m,w,a,"Star Is, Isles of Shoal, NH, USA",42.95,70.6,2,NA,metabolic_enzyme,CS,"muscle, adductor",5,15,22.5,3.48,10,0.49,-0.71,33,3.17,10,0.3,-1.19,15,1.58,10,0.33,-1.1,21.5,2.53,10,0.37,-0.99,Q10RR,aw,0.360002734,0.02494238,/mg protein,NA
344,Modiolus_modiolus,p096_o,NA,NA,Mollusca,Bivalvia,Mytiloida,Mytilidae,Modiolus,modiolus,m,w,a,"Star Is, Isles of Shoal, NH, USA",42.95,70.6,2,NA,metabolic_enzyme,HK,"muscle, adductor",5,15,20,2.53,10,0.4,-0.92,38,2.5,10,0.21,-1.57,8,1.27,10,0.5,-0.69,20,1.9,10,0.3,-1.2,Q10RR,aw,0.916290732,0.034226563,/mg protein,NA
345,Modiolus_modiolus,p096_o,NA,NA,Mollusca,Bivalvia,Mytiloida,Mytilidae,Modiolus,modiolus,m,w,a,"Star Is, Isles of Shoal, NH, USA",42.95,70.6,2,NA,metabolic_enzyme,HOAD,"muscle, adductor",5,15,29,3.16,10,0.35,-1.06,36,2.53,10,0.22,-1.5,10,0.95,10,0.3,-1.2,21,3.16,10,0.48,-0.74,Q10RR,aw,0.741937345,0.031668084,/mg protein,NA
346,Modiolus_modiolus,p096_o,NA,NA,Mollusca,Bivalvia,Mytiloida,Mytilidae,Modiolus,modiolus,m,w,a,"Star Is, Isles of Shoal, NH, USA",42.95,70.6,2,NA,metabolic_enzyme,PFK,"muscle, adductor",5,15,30,2.22,10,0.23,-1.45,40,2.2,10,0.17,-1.75,12.5,1.11,10,0.28,-1.27,25,2.22,10,0.28,-1.27,Q10RR,aw,0.693147181,0.01577088,/mg protein,NA
347,Modiolus_modiolus,p096_o,NA,NA,Mollusca,Bivalvia,Mytiloida,Mytilidae,Modiolus,modiolus,m,w,a,"Star Is, Isles of Shoal, NH, USA",42.95,70.6,2,NA,metabolic_enzyme,PK,"muscle, adductor",5,15,51,2.85,10,0.18,-1.73,66,2.8,10,0.13,-2.01,24,0.95,10,0.13,-2.08,44,2.22,10,0.16,-1.84,Q10RR,aw,0.606135804,0.004112501,/mg protein,NA
348,Modiolus_modiolus,p096_o,NA,NA,Mollusca,Bivalvia,Mytiloida,Mytilidae,Modiolus,modiolus,m,w,a,"Star Is, Isles of Shoal, NH, USA",42.95,70.6,2,NA,antiox,SOD,"muscle, adductor",5,15,1.8,0.38,10,0.67,-0.4,1.4,0.16,10,0.36,-1.03,1.1,0.38,10,1.09,0.09,3.5,0.63,10,0.57,-0.56,Q10RR,aw,1.157452789,0.151738843,/mg protein,NA
349,Macrobiotus_harmsworthi,p097_o,NA,NA,Tardigrada,Eutardigrada,Parachela,Macrobiotidae,Macrobiotus,harmsworthi,t,w,a,"Qinling Mountains, China",33.95,107.6,1,14,endurance,run,sustained,10,25,3.3,0.35,25,0.53,-0.63,2.65,0.3,25,0.57,-0.57,2,0.35,25,0.88,-0.13,4.8,0.6,25,0.63,-0.47,Q10RR,aw,0.583645825,0.020555556,mm/min,NA
350,Trachemys_scripta,p098_o,NA,NA,Chordata,Reptilia,Testudines,Emydidae,Trachemys,scripta,f,w,j,"Sequoyah National Wilfile Refuge, OH, USA",35.45,95,1,186,rest_MR,MR,rest,25,30,2.54,0.68,11,0.88,-0.13,3.42,0.67,11,0.65,-0.44,0.98,0.39,14,1.51,0.41,1.48,0.4,14,1.01,0.01,Q10RR,aw,0.82448959,0.925670123,NA,NA
351,Bufo_woodhousii,p099_o,NA,NA,Chordata,Amphibia,Anura,Bufonidae,Bufo,woodhousii,f,w,a,"Imperial County, California",33.04,-115.35,1,42,sprint,Mean velocity,jumping,20,30,0.74,0.02,16,0.11,-2.22,0.77,0.01,10,0.03,-3.42,0.68,0.01,16,0.03,-3.53,0.81,0.01,10,0.04,-3.24,Q10RR,aw,0.17494145,0.000368679,m/s,NA
352,Pseudopleuronectes_americanus,p100_o,NA,NA,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,americanus,m,w,j,"Conception Bay, Newfoundland",47.75,-53,1,21,metabolic_enzyme,PFK,muscle,0,15,0.08,0.01,6,0.16,-1.81,0.14,1,6,18.14,2.9,0.03,0.01,6,0.49,-0.71,0.08,1,6,30.62,3.42,Q10RR,aw,0.653886169,69.49382716,umole/min/mg,NA
353,Euastacus_sulcatus,p101_o,NA,NA,Arthropoda,Malacaostraca,Decapoda,Parastacidae,Euastacus,sulcatus,f,w,a,"Cave Creek, QLD, Australia",28.15,153.25,1,28,sprint,bite force,chelae,10,20,50,3,16,0.24,-1.43,58,4,16,0.28,-1.29,48,4,15,0.32,-1.13,58,5,15,0.33,-1.1,Q10RR,aw,0.189242,0.014376073,N,NA
358,Gadus_morhua,p103_o,NA,NA,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,m,w,a,"Helgoland, Germany",54.15,7.9,1,365,rest_MR,MR,rest,4,10,1.59,0.31,6,0.48,-0.73,3.22,0.31,6,0.24,-1.44,0.91,0.19,6,0.51,-0.68,1.88,0.34,6,0.45,-0.8,Q10RR,aw,1.209304094,0.211946878,NA,NA
359,Gadus_morhua,p103_o,NA,NA,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,m,w,a,"Helgoland, Germany",54.15,7.9,1,365,max_MR,MR,max,4,10,6.25,0.69,6,0.27,-1.31,7.6,0.78,6,0.25,-1.38,5.31,0.69,6,0.32,-1.15,8.13,0.78,6,0.24,-1.45,Q10RR,aw,0.709948481,0.072472171,NA,NA
360,Gadus_morhua,p103_o,NA,NA,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,m,w,a,"Tromso, Norway",69.65,18.9,1,365,rest_MR,MR,rest,4,10,1.16,0.16,6,0.33,-1.11,2.53,0.22,6,0.21,-1.55,1.16,0.16,6,0.33,-1.11,2,0.28,6,0.34,-1.07,Q10RR,aw,0.907878626,0.107291584,NA,NA
361,Gadus_morhua,p103_o,NA,NA,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,m,w,a,"Tromso, Norway",69.65,18.9,1,365,max_MR,MR,max,4,10,5,0.31,6,0.15,-1.88,7.41,1.09,6,0.36,-1.02,7.19,0.31,6,0.11,-2.24,8.6,0.56,6,0.16,-1.83,Q10RR,aw,0.298451719,0.016941863,NA,NA
362,Gadus_morhua,p103_o,NA,NA,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,m,w,a,"Helgoland, Germany",54.15,7.9,1,365,endurance,swim,sustained,4,10,0.7,0.05,6,0.17,-1.74,0.76,0.03,6,0.1,-2.34,0.76,0.02,6,0.06,-2.74,0.9,0.05,6,0.14,-1.99,Q10RR,aw,0.281793883,0.010497057,NA,NA
363,Gadus_morhua,p103_o,NA,NA,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,m,w,a,"Tromso, Norway",69.65,18.9,1,365,endurance,swim,sustained,4,10,0.72,0.01,6,0.03,-3.38,0.77,0.04,6,0.11,-2.2,0.72,0.01,6,0.03,-3.38,0.8,0.05,6,0.15,-1.88,Q10RR,aw,0.175600859,0.011386531,NA,NA
373,Limnodynastes_peronii,p106_o,NA,NA,Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,f,w,j,Sydney,-33.859972,151.21,1,90,rest_MR,MR,rest,15,25,0.08,0,30,0.22,-1.52,0.22,0.01,30,0.3,-1.2,0.07,0,30,0.23,-1.45,0.18,0.01,30,0.42,-0.88,Q10RR,aw,0.944461609,0.00308642,ml/g/h,NA
374,Eurycea_guttolineata,p107_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,guttolineata,f,w,a,"Shelby Co, Alabama, USA",33.25,86.65,1,17,sprint,run,sprint,8,18,4.7,1,22,1,0,6.3,1,22,0.74,-0.3,4.65,1.2,22,1.21,0.19,7,2.1,22,1.41,0.34,Q10RR,aw,0.40904293,0.156597295,NA,NA
375,Eurycea_guttolineata,p107_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,guttolineata,f,w,a,"Shelby Co, Alabama, USA",33.25,86.65,1,17,sprint,swim,sprint,8,18,5.1,0.9,22,0.83,-0.19,7.25,1,22,0.65,-0.44,4.4,0.7,22,0.75,-0.29,6.8,1.3,22,0.9,-0.11,Q10RR,aw,0.435318071,0.06185836,NA,NA
380,Eurycea_multiplicata,p108_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,multiplicata,f,w,a,"Fayetteville, Arkansas",36.076389,-94.16,1,14,rest_MR,MR,rest,5,10,41.3,3.1,15,0.29,-1.24,111.3,8.6,15,0.3,-1.21,68,2.2,15,0.13,-2.08,107.3,6.8,15,0.25,-1.4,Q10RR,aw,0.912241889,0.020251764,ul/g/h,NA
381,Eurycea_multiplicata,p108_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,multiplicata,f,w,a,"Fayetteville, Arkansas",36.076389,-94.16,1,14,rest_MR,MR,rest,10,15,107.3,6.8,15,0.25,-1.4,183.3,7.5,15,0.16,-1.84,80,4.4,15,0.21,-1.55,178.7,8.9,15,0.19,-1.65,Q10RR,aw,1.607363575,0.02202181,ul/g/h,NA
382,Eurycea_multiplicata,p108_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,multiplicata,f,w,a,"Fayetteville, Arkansas",36.076389,-94.16,1,14,rest_MR,MR,rest,15,20,178.7,8.9,15,0.19,-1.65,260,12.5,15,0.19,-1.68,150,6.9,15,0.18,-1.73,223.3,12.3,15,0.21,-1.54,Q10RR,aw,0.79576173,0.020600481,ul/g/h,NA
383,Eurycea_neotenes,p109_o,NA,NA,Chordata,Reptilia,Caudata,Plethodontidae,Eurycea,neotenes,f,w,a,"Leakey, Texas",29.725278,-99.761389,1,25,rest_MR,MR,rest,10,15,102.95,10.26,11,0.33,-1.11,158.95,11.48,11,0.24,-1.43,101.56,6.49,10,0.2,-1.6,151.2,7.6,10,0.16,-1.84,Q10RR,aw,0.795907414,0.026440531,ul/g/h,NA
384,Eurycea_neotenes,p109_o,NA,NA,Chordata,Reptilia,Caudata,Plethodontidae,Eurycea,neotenes,f,w,a,"Leakey, Texas",29.725278,-99.761389,1,25,rest_MR,MR,rest,5,10,29,1.27,11,0.15,-1.93,74.35,3.76,11,0.17,-1.79,42.51,3.07,11,0.24,-1.43,102.95,10.26,11,0.33,-1.11,Q10RR,aw,1.769008182,0.060590418,ul/g/h,NA
385,Eurycea_neotenes,p109_o,NA,NA,Chordata,Reptilia,Caudata,Plethodontidae,Eurycea,neotenes,f,w,a,"Leakey, Texas",29.725278,-99.761389,1,25,rest_MR,MR,rest,15,20,151.2,7.6,10,0.16,-1.84,288.36,14.46,10,0.16,-1.84,137.2,7.4,9,0.16,-1.82,249.82,15.35,9,0.18,-1.69,Q10RR,aw,1.198601886,0.026737886,ul/g/h,NA
386,Rutilus_rutilus,p11,fig,1498,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,rutilus,f,w,a,"Lake Pyh<U+00E4>selk<U+00E4>, Finland",62.47,29.77,1,14,cardiac,heart rate,ECG,4,18,31.11,2.39,10,0.24,-1.41,74.19,5.47,10,0.23,-1.46,23.25,2.74,20,0.53,-0.64,55.73,4.44,20,0.36,-1.03,Q10RR,aw,0.624438193,0.010324377,beats/min,T1 measurements taken at 6C rather than 4
392,Danio_rerio,p110_o,NA,NA,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,rerio,f,c,a,"Ancaster, ON, Canada",43.2,80,1,21,endurance,swim,sustained,18,28,13.5,0.8,10,0.19,-1.67,20.05,1.5,15,0.29,-1.24,13.8,0.05,10,0.01,-4.47,20.8,1,15,0.19,-1.68,Q10RR,aw,0.410284395,0.002324518,NA,NA
